Date,Rain(mm),Runoff(mm),Recharge(mm),ET_WaterBalance(mm),ET_Biological(mm),water_year
2015-10-31,57.74,0.0,0,57.74,66.6071,2015
2015-11-30,215.87,25.97556705907729,49.5867,140.30777895046307,105.473,2015
2015-12-31,31.82,0.0,5.02321,26.796791927576027,86.1712,2015
2016-01-31,0.91,0.0,0,0.9099999999999999,13.5081,2016
2016-02-29,0,0.0,0,0.0,2.87895,2016
2016-03-31,3.72,0.0,0,3.7199999999999998,3.72,2016
2016-04-30,0,0.0,0,0.0,1.64433e-14,2016
2016-05-31,68.95,0.25050691244239687,10.6685,58.03102381994415,47.5121,2016
2016-06-30,109.18,0.24242604429909242,12.8847,96.05292236541166,81.0064,2016
2016-07-31,65.3,0.11489192242656655,0.510406,64.67470225031016,58.588,2016
2016-08-31,87.4,0.250506912442396,8.68594,78.46355484266275,51.7913,2016
2016-09-30,152.66,9.889676280624432,26.2278,116.54256183436765,102.205,2016
2016-10-31,24.04,0.0,0,24.04,41.2709,2016
2016-11-30,11.68,0.0,0,11.68,34.4786,2016
2016-12-31,82.93,0.2505069124423951,15.4172,67.26227172846652,72.8595,2016
2017-01-31,0.33,0.0,0,0.33,11.4354,2017
2017-02-28,0,0.0,0,0.0,2.82423,2017
2017-03-31,9.79,0.0,0,9.79,9.79,2017
2017-04-30,11.62,0.0,0,11.620000000000001,11.62,2017
2017-05-31,29.79,0.06307041941743573,0,29.726929580582564,25.9237,2017
2017-06-30,103.85,0.2424260442990942,2.94524,100.66233024165764,79.4834,2017
2017-07-31,82.9,0.2505069124423964,0.510406,82.13908726029435,68.6587,2017
2017-08-31,195.17,0.2505069124423951,19.4298,175.48971880510527,135.138,2017
2017-09-30,142.87,0.0,0.177773,142.69222737336716,129.706,2017
2017-10-31,107.48,0.2505069124423964,25.0315,82.1980155379942,109.218,2017
2017-11-30,24.25,0.0,0.00315123,24.24684876859219,53.3897,2017
2017-12-31,0,0.0,0,0.0,31.0562,2017
